Player,Team,Position,Position Rank,Average,Std. Dev.,Total,Weekly Floor,Weekly Ceiling,#Top-12,#13-24,#24-36,#Rest,Position,Avg>StdDev,#Startable,TE Filter,Requirement
Orleans Darkwa,NYG,RB,46,6.94,5.05,55.50,1.88,11.99,0,2,2,4,2,1,4,0,1
Dion Lewis,NE,RB,47,6.86,3.28,54.90,3.58,10.15,0,1,3,4,2,1,4,0,1
Alex Collins,BAL,RB,48,6.04,4.38,54.40,1.66,10.43,1,0,1,7,2,1,2,0,0
Jonathan Stewart,CAR,RB,49,5.71,5.04,51.40,0.67,10.75,1,0,2,6,2,1,3,0,1
Matt Breida,SF,RB,50,5.61,4.43,50.50,1.18,10.04,1,1,0,7,2,1,2,0,0
Giovani Bernard,CIN,RB,51,6.26,5.52,50.10,0.74,11.79,0,1,2,5,2,1,3,0,1
Doug Martin,TB,RB,52,9.96,5.38,49.80,4.58,15.34,1,1,2,4,2,1,4,0,1
Charcandrick West,KC,RB,53,5.36,4.99,48.20,0.37,10.34,1,0,2,6,2,1,3,0,1
Shane Vereen,NYG,RB,54,5.91,3.98,47.30,1.93,9.89,0,1,2,5,2,1,3,0,1
Jamaal Charles,DEN,RB,55,5.71,3.08,45.70,2.64,8.79,0,1,1,6,2,1,2,0,0
Austin Ekeler,LAC,RB,56,5.55,5.19,44.40,0.36,10.74,0,2,0,6,2,1,2,0,0
Wendell Smallwood,PHI,RB,57,5.81,5.56,40.70,0.25,11.37,0,1,1,7,2,1,2,0,0
Latavius Murray,MIN,RB,58,5.08,5.15,40.60,-0.08,10.23,1,0,0,7,2,0,1,0,0
Elijah McGuire,NYJ,RB,59,4.46,6.18,40.10,-1.73,10.64,1,0,0,8,2,0,1,0,0
Rob Kelley,WAS,RB,60,6.63,3.85,39.80,2.78,10.48,0,1,2,5,2,1,3,0,1
Chris Carson,SEA,RB,61,7.94,4.63,39.70,3.31,12.57,0,1,2,5,2,1,3,0,1
Devontae Booker,DEN,RB,62,4.83,5.31,38.60,-0.49,10.14,0,2,0,6,2,0,2,0,0
Mike Tolbert,BUF,RB,63,4.81,3.18,38.50,1.64,7.99,0,1,0,7,2,1,1,0,0
Wayne Gallman,NYG,RB,64,4.80,5.18,38.40,-0.38,9.98,0,1,1,6,2,0,2,0,0
J.D. McKissic,SEA,RB,65,4.78,6.08,38.20,-1.30,10.85,1,0,0,7,2,0,1,0,0
Rex Burkhead,NE,RB,66,7.44,5.91,37.20,1.53,13.35,0,2,0,6,2,1,2,0,0
Malcolm Brown,LAR,RB,67,4.43,2.86,35.40,1.57,7.28,0,0,1,7,2,1,1,0,0
Damien Williams,MIA,RB,68,4.29,5.53,34.30,-1.24,9.81,1,0,0,7,2,0,1,0,0
Jacquizz Rodgers,TB,RB,69,4.24,4.97,33.90,-0.73,9.21,0,1,1,6,2,0,2,0,0
D'Onta Foreman,HOU,RB,70,4.03,3.23,32.20,0.79,7.26,0,0,1,7,2,1,1,0,0
